Id,LoaiNha,PhanVung,DienTichLot,CauHinhLot,LoaiToaNha,TinhTrangTongThe,NamXayDung,NamSuaChua,VatLieuNgoai,BsmtFinSF2,TongSoBsmtSF,GiaBan
61,CanHo,HP,59,Vuong,CanHo,5,2012,2012,ToiGach,0,0,803421939
62,NhaLienKe,HN,178,ChuL,CanHo,6,1994,2016,ToiGach,0,0,2649123626
63,CanHo,DN,77,Vuong,3Tang,5,2010,2010,Gach,0,0,1079826055
64,ChungCu,HCM,197,ChuNhat,1Tang,7,2013,2013,ToiGach,0,0,2607728203
65,NhaLienKe,HCM,83,TamGiac,1Tang,6,2022,2022,BeTong,0,0,1192288692
66,ChungCu,HCM,78,TamGiac,3Tang,9,2008,2008,Toi,0,0,1116236940
67,ChungCu,DN,119,ChuL,1Tang,7,2011,2016,ToiGach,0,0,1629173427
68,NhaLienKe,CT,156,TamGiac,CanHo,7,2003,2020,Gach,0,0,1882538580
69,CanHo,HN,152,Vuong,2Tang,5,2001,2016,Gach,0,0,2209083488
70,NhaLienKe,HCM,169,ChuNhat,3Tang,8,1996,2018,Gach,0,0,2421698006
71,ChungCu,CT,62,ChuL,1Tang,7,2009,2009,Gach,0,0,916482884
72,CanHo,DN,190,ChuL,CanHo,7,1990,1990,BeTong,0,0,2762979430
73,ChungCu,DN,196,Vuong,2Tang,10,1990,1996,ToiGach,0,0,2924772564
74,NhaLienKe,HN,68,ChuL,3Tang,8,1994,1994,Toi,0,0,984978232
75,NhaPho,CT,101,Vuong,CanHo,9,1992,1992,BeTong,0,0,1455739563
76,CanHo,DN,138,Vuong,1Tang,5,2015,2020,Gach,0,0,1822306008
77,NhaLienKe,HN,52,Vuong,CanHo,7,2017,2017,Gach,0,0,700512280
78,NhaPho,HN,98,Vuong,2Tang,7,2016,2020,Toi,0,0,1288028700
79,NhaLienKe,HCM,83,ChuL,2Tang,7,1994,1994,BeTong,0,0,1189554008
80,NhaPho,HN,69,TamGiac,2Tang,8,2018,2021,Toi,0,0,881797230
81,CanHo,HN,152,Vuong,3Tang,9,2009,2009,BeTong,0,0,2194427192
82,CanHo,HN,101,ChuNhat,2Tang,8,1995,2014,BeTong,0,0,1385813526
83,NhaPho,HN,166,TamGiac,1Tang,5,2020,2023,ToiGach,0,0,2422233820
84,ChungCu,HP,109,TamGiac,2Tang,10,2006,2006,BeTong,0,0,1532256927
85,NhaLienKe,HN,63,TamGiac,2Tang,7,2002,2002,BeTong,0,0,800837856
86,ChungCu,CT,178,Vuong,3Tang,10,1997,1997,ToiGach,0,0,2211066694
87,CanHo,DN,173,TamGiac,CanHo,9,2022,2022,BeTong,0,0,2521620320
88,CanHo,CT,157,ChuL,CanHo,8,2003,2003,Gach,0,0,2232990119
89,NhaLienKe,DN,72,ChuNhat,CanHo,9,1997,2010,Toi,0,0,1066887432
90,CanHo,CT,153,TamGiac,3Tang,9,2019,2021,BeTong,0,0,2182321008
91,NhaLienKe,HCM,125,ChuL,1Tang,7,2016,2023,Toi,0,0,1630071625
92,NhaPho,DN,101,ChuL,3Tang,8,2011,2011,ToiGach,0,0,1226371290
93,NhaPho,HN,172,ChuNhat,1Tang,9,2002,2005,ToiGach,0,0,2549140104
94,CanHo,HP,109,ChuL,2Tang,5,2000,2001,Gach,0,0,1535737079
95,NhaPho,DN,182,Vuong,3Tang,7,2009,2023,Gach,0,0,2231032076
96,NhaPho,DN,198,Vuong,2Tang,7,1996,1996,BeTong,0,0,2574049698
97,CanHo,DN,149,Vuong,1Tang,5,1995,1995,ToiGach,0,0,2099867132
98,NhaPho,CT,188,ChuNhat,2Tang,9,2004,2019,Gach,0,0,2290672840
99,NhaPho,HP,106,Vuong,3Tang,5,2020,2020,Gach,0,0,1557711976
100,CanHo,HCM,116,TamGiac,2Tang,6,1997,1997,ToiGach,0,0,1682572576
101,ChungCu,HP,127,TamGiac,3Tang,9,1993,1993,Toi,0,0,1553048837
102,ChungCu,DN,188,ChuL,1Tang,8,2011,2022,BeTong,0,0,2286504128
103,NhaPho,CT,80,ChuNhat,CanHo,9,2005,2005,BeTong,0,0,1138893760
104,CanHo,HN,115,ChuNhat,CanHo,8,1998,1998,ToiGach,0,0,1414044715
105,ChungCu,HN,176,ChuNhat,CanHo,5,2018,2020,BeTong,0,0,2295237120
106,NhaLienKe,HN,147,ChuL,2Tang,10,1992,1992,BeTong,0,0,2168538708
107,CanHo,HP,157,ChuNhat,2Tang,5,2009,2010,Toi,0,0,2279500898
108,NhaLienKe,HP,118,TamGiac,2Tang,10,2013,2014,Gach,0,0,1570663662
109,NhaLienKe,HN,93,Vuong,2Tang,10,2002,2008,ToiGach,0,0,1277309802
110,ChungCu,HCM,145,TamGiac,1Tang,6,2017,2023,ToiGach,0,0,1959354405
111,NhaLienKe,HCM,64,Vuong,1Tang,8,1995,1995,ToiGach,0,0,856056704
112,NhaLienKe,DN,70,ChuL,3Tang,10,2017,2017,BeTong,0,0,1039664640
113,CanHo,DN,99,TamGiac,1Tang,8,2016,2016,Toi,0,0,1329023223
114,CanHo,HN,116,TamGiac,CanHo,5,1993,2011,ToiGach,0,0,1683547092
115,ChungCu,HN,76,ChuNhat,1Tang,8,2001,2001,BeTong,0,0,1084380084
116,NhaLienKe,HP,58,ChuL,1Tang,8,2010,2015,Toi,0,0,856033716
117,NhaLienKe,HCM,70,ChuL,2Tang,10,2013,2021,Gach,0,0,971801040
118,NhaPho,HCM,189,TamGiac,3Tang,6,2008,2015,BeTong,0,0,2414605977
119,NhaLienKe,DN,149,TamGiac,CanHo,6,2016,2016,Toi,0,0,1993668127
120,CanHo,DN,69,ChuL,2Tang,8,2010,2010,BeTong,0,0,877492596
121,ChungCu,HN,73,Vuong,1Tang,5,2017,2017,ToiGach,0,0,913501341
122,NhaPho,CT,157,ChuL,1Tang,9,1995,1997,Toi,0,0,2122861527
123,CanHo,CT,113,Vuong,1Tang,9,2007,2023,Toi,0,0,1587948998
124,ChungCu,HCM,167,ChuL,1Tang,10,1991,2020,Toi,0,0,2112804508
125,ChungCu,CT,113,Vuong,3Tang,9,2000,2017,Gach,0,0,1608636021
126,NhaPho,HP,158,ChuNhat,1Tang,10,1995,1995,Gach,0,0,1915233340
127,CanHo,HCM,105,ChuNhat,3Tang,8,2012,2021,Toi,0,0,1405699890
128,NhaPho,DN,141,ChuL,2Tang,6,2020,2020,BeTong,0,0,1814148018
129,NhaPho,HCM,92,Vuong,CanHo,7,1991,1991,Gach,0,0,1243307504
130,CanHo,HN,97,ChuL,1Tang,6,2020,2021,BeTong,0,0,1408662033
131,NhaPho,HCM,188,Vuong,CanHo,10,2022,2023,ToiGach,0,0,2556123952
132,CanHo,HP,125,Vuong,CanHo,6,2020,2023,BeTong,0,0,1545759125
133,ChungCu,CT,98,Vuong,CanHo,6,1995,2006,Gach,0,0,1277449698
134,CanHo,HCM,71,TamGiac,2Tang,5,2013,2023,Gach,0,0,994500408
135,CanHo,DN,194,ChuL,2Tang,5,2002,2002,BeTong,0,0,2385443594
136,ChungCu,DN,155,TamGiac,1Tang,9,2009,2014,Toi,0,0,2227637370
137,CanHo,HP,90,TamGiac,1Tang,6,2018,2019,BeTong,0,0,1205345250
138,CanHo,HP,146,ChuNhat,3Tang,7,2001,2023,Gach,0,0,2012411294
139,ChungCu,DN,129,ChuNhat,2Tang,7,2010,2010,BeTong,0,0,1839950349
140,ChungCu,HP,185,Vuong,2Tang,9,2011,2017,ToiGach,0,0,2645252100
141,ChungCu,HP,137,TamGiac,2Tang,7,1999,1999,ToiGach,0,0,2023101879
142,ChungCu,CT,112,ChuNhat,CanHo,5,2004,2007,Gach,0,0,1418307520
143,CanHo,HP,95,TamGiac,2Tang,6,1992,2013,ToiGach,0,0,1382234325
144,NhaPho,DN,107,ChuNhat,2Tang,8,2000,2000,Gach,0,0,1439061618
145,ChungCu,HP,176,ChuNhat,2Tang,9,2005,2005,BeTong,0,0,2500811104
146,CanHo,HN,118,Vuong,3Tang,10,2001,2008,BeTong,0,0,1722197492
147,CanHo,CT,131,TamGiac,3Tang,9,2005,2005,Toi,0,0,1654363237
148,NhaLienKe,CT,109,ChuNhat,1Tang,5,1998,1998,Toi,0,0,1609674722
149,NhaLienKe,HP,69,ChuL,1Tang,8,2016,2021,BeTong,0,0,1024151751
150,NhaPho,DN,135,Vuong,CanHo,6,1992,2004,ToiGach,0,0,1764204705
151,ChungCu,DN,68,ChuNhat,1Tang,10,2020,2020,Gach,0,0,833680204
152,NhaPho,HP,103,ChuL,1Tang,8,1990,1990,Gach,0,0,1287420999
153,ChungCu,CT,85,TamGiac,CanHo,10,2020,2020,ToiGach,0,0,1147847140
154,NhaPho,HP,179,ChuNhat,3Tang,7,2020,2023,Toi,0,0,2435163435
155,CanHo,DN,126,ChuL,1Tang,6,2019,2019,Gach,0,0,1879542504
156,ChungCu,HN,82,TamGiac,3Tang,7,2022,2022,BeTong,0,0,1211225854
157,NhaPho,HP,138,Vuong,2Tang,7,2005,2005,BeTong,0,0,1870140672
158,CanHo,DN,61,TamGiac,1Tang,8,1998,2019,Toi,0,0,798651040
159,CanHo,HP,101,TamGiac,3Tang,7,2010,2011,Toi,0,0,1259631196
160,NhaLienKe,CT,90,TamGiac,2Tang,8,2004,2004,Toi,0,0,1252201590
161,NhaPho,HP,158,ChuNhat,1Tang,10,1999,2004,BeTong,0,0,2236575478
162,ChungCu,HN,180,TamGiac,2Tang,7,2007,2022,Toi,0,0,2237377860
163,ChungCu,HP,186,ChuL,3Tang,9,1992,2002,Gach,0,0,2504992386
164,ChungCu,CT,141,ChuNhat,1Tang,8,1995,2017,ToiGach,0,0,1725646125
165,NhaLienKe,HCM,139,Vuong,3Tang,6,1991,1991,Toi,0,0,1852731139
166,NhaPho,DN,74,ChuNhat,CanHo,5,1997,2011,Toi,0,0,1036143856
167,CanHo,HCM,191,ChuNhat,2Tang,8,2018,2018,ToiGach,0,0,2486380318
168,CanHo,DN,173,ChuNhat,CanHo,6,2013,2022,BeTong,0,0,2220578176
169,ChungCu,HN,127,Vuong,2Tang,5,2005,2019,BeTong,0,0,1628845739
170,ChungCu,HN,128,Vuong,3Tang,7,2013,2022,ToiGach,0,0,1892070656
171,NhaPho,HN,192,Vuong,3Tang,5,2021,2021,Toi,0,0,2650295424
172,CanHo,CT,167,ChuNhat,3Tang,8,1993,1993,Gach,0,0,2048852526
173,CanHo,DN,137,Vuong,CanHo,9,2021,2021,BeTong,0,0,1663176301
174,NhaLienKe,HN,125,ChuNhat,3Tang,7,1990,2019,Gach,0,0,1807369500
175,CanHo,HCM,150,Vuong,3Tang,9,2002,2005,BeTong,0,0,2179828350
176,ChungCu,HCM,158,ChuL,CanHo,7,1990,1990,BeTong,0,0,1950017830
177,CanHo,HCM,172,ChuL,1Tang,8,2003,2003,Gach,0,0,2244772860
178,NhaLienKe,DN,196,ChuNhat,1Tang,5,1993,2022,ToiGach,0,0,2874515616
179,NhaLienKe,HCM,106,Vuong,1Tang,10,2015,2015,ToiGach,0,0,1506602380
180,ChungCu,HN,85,TamGiac,1Tang,7,1994,1995,Gach,0,0,1131601005
181,NhaLienKe,HN,132,TamGiac,CanHo,6,2022,2022,ToiGach,0,0,1802711196
182,CanHo,CT,189,Vuong,CanHo,9,2020,2020,ToiGach,0,0,2762169984
183,NhaPho,HP,163,Vuong,2Tang,7,1991,1997,Toi,0,0,2143546333
184,ChungCu,HN,116,ChuNhat,CanHo,10,2009,2019,ToiGach,0,0,1640327928
185,NhaLienKe,HCM,192,TamGiac,1Tang,7,1991,1991,Toi,0,0,2439167424
186,ChungCu,HP,136,TamGiac,CanHo,10,2017,2022,BeTong,0,0,2024414400
187,NhaLienKe,CT,170,TamGiac,2Tang,5,2007,2010,Toi,0,0,2538345140
188,ChungCu,CT,130,TamGiac,3Tang,6,2002,2002,Gach,0,0,1839946680
189,NhaLienKe,CT,129,ChuL,2Tang,6,1991,1991,BeTong,0,0,1690764558
190,CanHo,HN,112,ChuNhat,1Tang,10,2001,2001,BeTong,0,0,1348969664
191,ChungCu,HP,90,ChuNhat,3Tang,8,1990,1990,Toi,0,0,1347184170
192,NhaPho,CT,104,TamGiac,2Tang,9,2008,2008,Gach,0,0,1283077224
193,CanHo,CT,196,Vuong,CanHo,9,2018,2018,BeTong,0,0,2917575052
194,ChungCu,HN,52,ChuL,CanHo,9,1993,1993,Gach,0,0,773904196
195,NhaPho,HP,102,TamGiac,1Tang,10,2004,2019,ToiGach,0,0,1397887254
196,CanHo,HN,188,ChuL,CanHo,8,2017,2019,Toi,0,0,2421683836
197,NhaPho,CT,141,Vuong,3Tang,8,2013,2022,Toi,0,0,1820707056
198,CanHo,HCM,199,Vuong,CanHo,8,2008,2008,Gach,0,0,2436739080
199,CanHo,DN,170,Vuong,2Tang,9,2018,2018,Toi,0,0,2342168540
200,NhaPho,HP,160,ChuNhat,3Tang,10,1993,2000,Toi,0,0,2265936320
201,NhaPho,HP,76,ChuL,2Tang,8,2001,2018,ToiGach,0,0,1106696572
202,NhaPho,HN,129,ChuL,1Tang,8,1996,1996,BeTong,0,0,1852072092
203,ChungCu,DN,173,ChuNhat,3Tang,10,2008,2014,Gach,0,0,2340236394
204,CanHo,CT,87,ChuNhat,1Tang,7,2017,2019,Toi,0,0,1058896227
205,NhaLienKe,HCM,52,Vuong,3Tang,5,1993,2005,Toi,0,0,646003280
206,CanHo,DN,122,ChuL,1Tang,7,2004,2020,Gach,0,0,1546350976
207,CanHo,HN,72,TamGiac,1Tang,8,1994,1994,ToiGach,0,0,1035912240
208,NhaLienKe,CT,77,Vuong,2Tang,7,1998,2017,ToiGach,0,0,948467674
209,NhaPho,DN,81,TamGiac,CanHo,6,1998,2013,ToiGach,0,0,1148485392
210,NhaPho,CT,155,ChuNhat,3Tang,6,2014,2014,Gach,0,0,2289062940
211,ChungCu,HCM,65,Vuong,3Tang,10,1995,1995,Gach,0,0,948394720
212,NhaLienKe,HCM,166,TamGiac,2Tang,8,1995,1995,Gach,0,0,2020565778
213,ChungCu,CT,75,ChuL,3Tang,8,1990,1990,BeTong,0,0,968741700
214,ChungCu,HP,123,ChuL,2Tang,10,1993,1993,BeTong,0,0,1654589112
215,ChungCu,HCM,84,ChuNhat,2Tang,10,1991,2021,ToiGach,0,0,1186764432
216,NhaPho,DN,98,Vuong,2Tang,7,2007,2007,Gach,0,0,1302308770
217,NhaLienKe,HP,125,TamGiac,CanHo,6,1995,2002,BeTong,0,0,1746125500
218,CanHo,HN,62,ChuNhat,3Tang,5,2017,2017,ToiGach,0,0,834607048
219,NhaPho,HP,195,ChuNhat,3Tang,10,2017,2021,Gach,0,0,2523630135
220,CanHo,HP,74,TamGiac,CanHo,5,1997,2014,ToiGach,0,0,932662256
221,NhaPho,DN,133,ChuL,1Tang,9,1990,2004,ToiGach,0,0,1727226578
222,ChungCu,HCM,115,ChuNhat,CanHo,5,2012,2012,BeTong,0,0,1429834560
223,ChungCu,DN,100,TamGiac,3Tang,8,2008,2008,Toi,0,0,1456182600
224,NhaLienKe,DN,104,ChuNhat,1Tang,7,2008,2008,BeTong,0,0,1439726288
225,ChungCu,HP,118,TamGiac,1Tang,8,2006,2022,BeTong,0,0,1686546860
226,CanHo,HN,96,ChuL,CanHo,6,1991,1991,ToiGach,0,0,1253174112
227,NhaLienKe,DN,70,ChuNhat,1Tang,6,2014,2014,Toi,0,0,925031520
228,NhaLienKe,HCM,148,ChuNhat,3Tang,5,2016,2016,ToiGach,0,0,1838046632
229,NhaLienKe,HP,153,Vuong,CanHo,9,2013,2013,Toi,0,0,2155129389
230,NhaPho,CT,122,Vuong,1Tang,8,2011,2011,Gach,0,0,1675983052
231,ChungCu,HP,83,Vuong,CanHo,9,2012,2014,BeTong,0,0,1042696381
232,NhaPho,DN,175,Vuong,CanHo,7,2017,2017,BeTong,0,0,2301251925
233,NhaPho,HCM,133,Vuong,2Tang,10,2012,2019,Gach,0,0,1951508069
234,ChungCu,HCM,135,TamGiac,2Tang,10,2018,2018,Gach,0,0,1883783385
235,NhaPho,HP,185,TamGiac,3Tang,6,2021,2023,Toi,0,0,2756782680
236,CanHo,HP,61,Vuong,CanHo,7,2008,2017,BeTong,0,0,796326147
237,NhaPho,DN,166,ChuL,CanHo,10,2014,2018,BeTong,0,0,2478745864
238,ChungCu,DN,86,ChuL,2Tang,8,2001,2019,Toi,0,0,1250101074
239,NhaPho,CT,187,ChuL,1Tang,6,2010,2010,Gach,0,0,2794059378
240,NhaLienKe,DN,95,ChuL,3Tang,5,2004,2015,Toi,0,0,1402066620
241,ChungCu,CT,111,Vuong,1Tang,9,2018,2020,BeTong,0,0,1491364365
242,CanHo,DN,78,Vuong,3Tang,9,2022,2023,Gach,0,0,1072131918
243,NhaPho,HN,76,Vuong,1Tang,7,2000,2000,BeTong,0,0,1050373960
244,CanHo,DN,87,Vuong,2Tang,8,1995,2023,Gach,0,0,1112339370
245,ChungCu,DN,171,ChuL,CanHo,5,2021,2021,Gach,0,0,2377498158
246,NhaPho,HP,165,ChuNhat,1Tang,8,2016,2021,Toi,0,0,2206460025
247,NhaPho,DN,87,ChuL,CanHo,9,2006,2006,BeTong,0,0,1151162946
248,NhaPho,CT,171,ChuL,3Tang,5,1990,2020,BeTong,0,0,2331265914
249,ChungCu,HP,166,TamGiac,CanHo,5,2015,2016,BeTong,0,0,2097546120
250,ChungCu,HN,186,TamGiac,CanHo,8,2009,2009,ToiGach,0,0,2254819410
251,NhaPho,DN,98,Vuong,1Tang,6,2013,2013,ToiGach,0,0,1256216038
252,CanHo,HCM,141,TamGiac,2Tang,9,1998,1998,Gach,0,0,1752459108
253,NhaPho,CT,126,TamGiac,1Tang,9,2012,2021,ToiGach,0,0,1804735044
254,CanHo,HCM,113,TamGiac,CanHo,7,2012,2012,ToiGach,0,0,1615112955
255,ChungCu,HN,199,ChuNhat,1Tang,6,1994,1994,BeTong,0,0,2946559568
256,ChungCu,DN,181,ChuL,2Tang,8,2019,2019,Gach,0,0,2423786566
257,NhaLienKe,HP,119,ChuL,1Tang,6,1999,1999,ToiGach,0,0,1506871891
258,NhaPho,HP,179,ChuNhat,1Tang,7,2019,2019,Toi,0,0,2616519791
259,ChungCu,DN,174,ChuL,CanHo,10,2012,2018,Toi,0,0,2214750822
260,CanHo,HN,111,TamGiac,CanHo,8,2022,2022,ToiGach,0,0,1646509620
261,NhaLienKe,HCM,107,ChuL,CanHo,10,2011,2012,Gach,0,0,1562559627
262,NhaLienKe,HP,181,ChuL,2Tang,8,2022,2022,Toi,0,0,2475034001
263,NhaPho,HCM,102,ChuNhat,1Tang,10,1996,2023,ToiGach,0,0,1483870704
264,NhaLienKe,DN,124,TamGiac,3Tang,8,2004,2022,BeTong,0,0,1501615572
265,NhaPho,DN,197,ChuNhat,2Tang,9,2022,2022,Gach,0,0,2893972355
266,ChungCu,HCM,169,ChuL,3Tang,8,2012,2022,BeTong,0,0,2521314549
267,NhaPho,DN,149,Vuong,2Tang,10,2017,2017,Toi,0,0,1950771176
268,NhaPho,HP,190,TamGiac,1Tang,8,2021,2022,Toi,0,0,2817880690
269,NhaLienKe,HN,86,ChuNhat,1Tang,5,1998,1998,ToiGach,0,0,1087619898
270,NhaPho,HN,156,ChuNhat,3Tang,8,1994,2023,Gach,0,0,1999929048
271,NhaPho,HN,151,TamGiac,3Tang,7,2005,2007,Gach,0,0,2078396163
272,NhaLienKe,HN,56,ChuNhat,3Tang,8,2013,2015,BeTong,0,0,774689440
273,NhaPho,CT,63,TamGiac,CanHo,6,1997,1997,Toi,0,0,876944565
274,ChungCu,CT,103,ChuNhat,3Tang,8,2022,2022,ToiGach,0,0,1472857976
275,CanHo,CT,105,Vuong,CanHo,9,2020,2020,ToiGach,0,0,1496155500
276,CanHo,HP,133,ChuNhat,3Tang,5,2013,2017,BeTong,0,0,1790243973
277,NhaLienKe,HN,143,ChuL,2Tang,8,2003,2003,BeTong,0,0,1936216711
278,NhaLienKe,HP,123,Vuong,1Tang,9,2000,2018,Toi,0,0,1606101897
279,NhaLienKe,HP,120,ChuL,CanHo,8,1995,1995,Toi,0,0,1602977160
280,NhaLienKe,DN,61,Vuong,3Tang,9,2011,2023,Toi,0,0,911128635
281,NhaPho,HN,112,ChuL,1Tang,7,2022,2022,ToiGach,0,0,1638614992
282,NhaPho,HP,138,TamGiac,3Tang,8,2004,2004,Gach,0,0,1939217538
283,CanHo,HN,172,ChuNhat,2Tang,7,1990,2014,Toi,0,0,2474705900
284,NhaLienKe,HCM,111,Vuong,2Tang,9,1994,2001,ToiGach,0,0,1607628207
285,ChungCu,HP,118,ChuNhat,2Tang,7,1994,1994,Toi,0,0,1639933674
286,NhaLienKe,DN,142,TamGiac,2Tang,7,2000,2000,ToiGach,0,0,2036885630
287,NhaLienKe,DN,135,Vuong,3Tang,5,2003,2011,Toi,0,0,1759684095
288,CanHo,HP,136,Vuong,3Tang,9,2021,2021,Gach,0,0,1900664192
289,NhaPho,CT,58,TamGiac,3Tang,5,2011,2020,Gach,0,0,742829606
290,ChungCu,HCM,63,ChuL,2Tang,8,2011,2023,Toi,0,0,824933718
291,NhaLienKe,CT,58,Vuong,2Tang,5,2004,2004,Toi,0,0,749530230
292,CanHo,HP,141,ChuNhat,2Tang,5,2007,2021,ToiGach,0,0,1871345091
293,CanHo,DN,116,Vuong,2Tang,9,1998,1998,ToiGach,0,0,1595506804
294,CanHo,HP,129,Vuong,2Tang,7,1999,2019,BeTong,0,0,1918373577
295,CanHo,CT,166,ChuNhat,2Tang,6,1994,1994,ToiGach,0,0,2366699682
296,ChungCu,DN,159,ChuL,2Tang,9,2016,2018,ToiGach,0,0,1955731164
297,ChungCu,HN,178,TamGiac,1Tang,5,2011,2017,BeTong,0,0,2333392744
298,ChungCu,CT,133,Vuong,3Tang,5,2007,2018,BeTong,0,0,1665817153
299,NhaPho,HN,192,TamGiac,2Tang,9,1992,1992,Toi,0,0,2740305984
300,NhaPho,HN,137,Vuong,2Tang,7,2002,2002,Toi,0,0,1709488055
301,CanHo,HN,125,Vuong,2Tang,7,1997,2001,ToiGach,0,0,1842770625
